solution_id,designation,source_id,ra,dec,clon,clat,ra_pmra_corr,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,phot_proc_mode,bp_rp,bp_g,g_rp,e_bp_min_rp_val,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper
1635721458409799680,Gaia DR2 2672836522864822912,2672836522864822912,323.0788079780993,-2.98696289407901,21h32m18.91s,-02d59m13.07s,,67,173.88678024797994,1.8143762713816785,95.8383255005,20.0876998901,6,108.10936987415005,15.02317580141536,7.1961727142,20.2667293549,6,76.59899137400761,5.109079779577562,14.9927177429,20.0513629913,1.062233448,0,0.2153663635,0.1790294647,0.0363368988,,,
1635721458409799680,Gaia DR2 2672823328724892288,2672823328724892288,323.1676271804122,-3.0558505096226463,21h32m40.23s,-03d03m21.06s,-0.4048668444,91,282.09322106143304,2.1124836742018718,133.5362854004,19.5623836517,7,156.43933337558977,12.580190983945945,12.4353704453,19.8655223846,10,220.23329927951306,14.851577266257094,14.8289499283,18.904712677,1.3352771997,0,0.9608097076,0.3031387329,0.6576709747,,,
1635721458409799680,Gaia DR2 2672829753996329728,2672829753996329728,323.22415407479383,-3.0113767493995742,21h32m53.80s,-03d00m40.96s,-0.3888034225,104,273.80901367380784,1.5992664762675628,171.2091217041,19.594745636,9,82.77712868940607,17.708454278271425,4.6744413376,20.5566120148,11,368.9016054261315,10.544817711156709,34.984161377,18.3446445465,1.6496123075,0,2.2119674683,0.9618663788,1.2501010895,,,
1635721458409799680,Gaia DR2 2672823328724889088,2672823328724889088,323.15833961797773,-3.0576777017915013,21h32m38.00s,-03d03m27.64s,-0.4361974299,103,434.781173600385,2.3715945245425,183.32862854,19.0926895142,9,152.56437732452773,27.511656169122436,5.5454449654,19.8927555084,11,504.4177025995684,17.096838310381457,29.5035667419,18.0049438477,1.5110638142,0,1.8878116608,0.8000659943,1.0877456665,,,
1635721458409799680,Gaia DR2 2672843154298674048,2672843154298674048,323.1365655987519,-2.906734334532097,21h32m32.78s,-02d54m24.24s,,61,91.68219385155498,1.4078387602183102,65.1226501465,20.7826538086,4,121.2760306694222,24.25198002235807,5.0006651878,20.1419506073,4,66.29367360949243,6.3435882887087764,10.4505004883,20.208240509,2.0458683968,0,-0.0662899017,-0.6407032013,0.5744132996,,,
1635721458409799680,Gaia DR2 2672826249302655872,2672826249302655872,323.18198233725934,-3.0541279390634424,21h32m43.68s,-03d03m14.86s,-0.3776292801,104,1551.5030671811455,3.3969966589029865,456.7278747559,17.7114849091,9,705.2731127390522,14.900415763163567,47.332447052,18.2304954529,11,1190.6516610457873,8.962804053646234,132.8436584473,17.0724582672,1.2219922543,0,1.1580371857,0.5190105438,0.6390266418,,,
1635721458409799680,Gaia DR2 2672824295092419968,2672824295092419968,323.10055193335023,-3.038146948819878,21h32m24.13s,-03d02m17.33s,-0.2259812802,83,24882.30365796205,119.13480489593415,208.8583984375,14.698638916,0,,,,,0,,,,,,2,,,,,,
1635721458409799680,Gaia DR2 2672824295093015424,2672824295093015424,323.1001639054451,-3.03795523834598,21h32m24.04s,-03d02m16.64s,-0.3652231991,89,33439.98500795023,85.53204355421123,390.9644165039,14.3777008057,9,6559.055941925532,75.607585536831,86.7512969971,15.8092851639,10,51006.02371108817,3374.2194433203404,15.1163921356,12.9928665161,1.7214444876,0,2.8164186478,1.4315843582,1.3848342896,,,
1635721458409799680,Gaia DR2 2672826421101679872,2672826421101679872,323.2157768715707,-3.029718455423788,21h32m51.79s,-03d01m46.99s,,48,94.15917281845644,1.513703527945366,62.2045021057,20.7537097931,3,96.72242882768383,24.57603091267803,3.9356408119,20.3875694275,5,66.70262623054593,15.878737102632568,4.2007513046,20.2015628815,1.7356253862,0,0.186006546,-0.3661403656,0.5521469116,,,
1635721458409799680,Gaia DR2 2672843192948642432,2672843192948642432,323.1439560627526,-2.9037646897003895,21h32m34.55s,-02d54m13.55s,,67,96.08372465708466,1.7974894841498972,53.4544029236,20.7317409515,5,27.757637848531882,7.49922597363778,3.70140028,21.742931366,6,83.80346373264378,12.792523155830933,6.5509719849,19.9537658691,1.1610821486,0,1.7891654968,1.0111904144,0.7779750824,,,
1635721458409799680,Gaia DR2 2672829788356070784,2672829788356070784,323.22768679220576,-3.0093501742524476,21h32m54.64s,-03d00m33.66s,-0.4274892509,93,188.0286778270764,1.3489124490685098,139.392791748,20.0028057098,7,84.8393857328106,13.398681604837765,6.3319206238,20.5298938751,8,128.57554743379026,6.773548738524643,18.982006073,19.4890232086,1.1350126266,0,1.0408706665,0.5270881653,0.5137825012,,,
1635721458409799680,Gaia DR2 2672842711912828032,2672842711912828032,323.0820240572274,-2.950047812898553,21h32m19.69s,-02d57m00.17s,-0.4174906611,88,583.6023979478861,2.729476314650355,213.8147888184,18.7730731964,10,147.31977665990055,11.154400124980523,13.207324028,19.9307346344,8,729.6963233058126,18.33861326693437,39.7901573181,17.6040649414,1.5027630329,0,2.326669693,1.157661438,1.169008255,,,
1635721458409799680,Gaia DR2 2672832502776643840,2672832502776643840,323.21745994627,-2.9345792252017615,21h32m52.19s,-02d56m04.49s,,78,93.85515512309505,1.6139624931043326,58.1520042419,20.7572212219,4,39.009823474349545,12.178136620787697,3.2032670975,21.3734531403,6,127.27496911143727,13.098309074878074,9.7169008255,19.5000629425,1.7717171907,0,1.8733901978,0.6162319183,1.2571582794,,,
1635721458409799680,Gaia DR2 2672832571494991872,2672832571494991872,323.213693906784,-2.92966233911147,21h32m51.29s,-02d55m46.78s,-0.3571647704,103,908.6078675793883,2.106227298996509,431.3911743164,18.2924251556,10,214.97377985097077,11.586842514317187,18.5532665253,19.5204238892,10,1044.0832024245713,10.430520490883493,100.0988616943,17.2150821686,1.3856989145,0,2.3053417206,1.2279987335,1.0773429871,,,
1635721458409799680,Gaia DR2 2672823328724885888,2672823328724885888,323.15691884418993,-3.0601586857730125,21h32m37.66s,-03d03m36.57s,-0.4622058272,95,727.2307029295729,2.5007927467654594,290.8000793457,18.5341854095,9,346.92463080854054,34.13190507016293,10.1642332077,19.0008010864,9,611.9104845179077,8.478827982339984,72.1692276001,17.7952003479,1.318474412,0,1.2056007385,0.4666156769,0.7389850616,,,
1635721458409799680,Gaia DR2 2672843257373643392,2672843257373643392,323.11497712368714,-2.9128754653635127,21h32m27.59s,-02d54m46.35s,-0.3108907342,104,223.73832141193603,1.5500419679535693,144.3433990479,19.8140144348,8,127.60089330059121,9.43094122420579,13.5300273895,20.0867538452,9,144.13476920163902,7.4809002373086155,19.2670345306,19.3649978638,1.2145245075,0,0.7217559814,0.2727394104,0.449016571,,,
1635721458409799680,Gaia DR2 2672823333020341376,2672823333020341376,323.15496331314125,-3.0604857927084983,21h32m37.19s,-03d03m37.75s,-0.4121373296,103,478.22722742103934,2.0421839331441114,234.174407959,18.9892807007,8,126.84209327559665,8.632628137164826,14.6933345795,20.0932292938,11,574.5161198366484,5.682464447835638,101.1033401489,17.8636646271,1.4665794373,0,2.2295646667,1.1039485931,1.1256160736,,,
1635721458409799680,Gaia DR2 2672826249302862976,2672826249302862976,323.17844660693453,-3.0568668153345047,21h32m42.83s,-03d03m24.72s,-0.5685656071,91,139.79372774375292,1.8612927679071927,75.10572052,20.3246459961,6,40.25264007209262,9.039756243377253,4.4528455734,21.3394031525,8,145.25073350187202,10.456414497681159,13.8910646439,19.3566246033,1.3269792795,0,1.9827785492,1.0147571564,0.9680213928,,,
1635721458409799680,Gaia DR2 2672832850667806336,2672832850667806336,323.18855404196233,-2.909521161067052,21h32m45.25s,-02d54m34.28s,-0.3386332989,107,3766.5868926938588,3.3880716048895363,1111.7199707031,16.7484951019,12,1839.2766017447977,29.852582114964815,61.6119766235,17.1897697449,12,2795.599920677956,22.783473024522635,122.7029724121,16.1457328796,1.2305243015,0,1.0440368652,0.4412746429,0.6027622223,0.0683000013,0.0120000001,0.1209999993
1635721458409799680,Gaia DR2 2672829998809507200,2672829998809507200,323.23389470718644,-2.9769922441828602,21h32m56.13s,-02d58m37.17s,-0.2101599425,78,515.9145590517954,2.7964315624158425,184.4903259277,18.9069213867,7,129.0948700185149,9.099015793061248,14.1877841949,20.0741157532,8,625.1465018994429,13.059904471372777,47.8676185608,17.7719650269,1.4619501829,0,2.3021507263,1.1671943665,1.1349563599,,,
1635721458409799680,Gaia DR2 2672829792650565888,2672829792650565888,323.23169630346047,-3.0010500243179656,21h32m55.61s,-03d00m03.78s,-0.3196921349,93,362.4128849956033,1.9807394314270546,182.9684753418,19.2903575897,7,48.97788025414974,4.343620403112978,11.2758197784,21.1263885498,7,511.8841561792041,11.011769867793287,46.4851837158,17.9889907837,1.5475775003,0,3.1373977661,1.8360309601,1.301366806,,,
1635721458409799680,Gaia DR2 2672823534883631872,2672823534883631872,323.1068039685008,-3.047055852060446,21h32m25.63s,-03d02m49.40s,,43,86.97060165745559,2.4016801777932284,36.2123985291,20.8399353027,5,35.20293860555243,12.453122217647485,2.8268363476,21.4849414825,6,61.632919776183435,10.652468259753585,5.7857875824,20.2873878479,1.1134320498,0,1.1975536346,0.6450061798,0.5525474548,,,
1635721458409799680,Gaia DR2 2672823470459294336,2672823470459294336,323.1243915923258,-3.0567374238807905,21h32m29.85s,-03d03m24.25s,-0.2518945634,94,1382.6031374845245,3.1870068959815705,433.8249511719,17.8366222382,10,282.930370616195,15.463760201461358,18.2963504791,19.2221889496,9,1776.5890672630662,13.314054976872553,133.4371185303,16.6379528046,1.4895955324,0,2.584236145,1.3855667114,1.1986694336,,,
1635721458409799680,Gaia DR2 2672843227308903424,2672843227308903424,323.10825692925084,-2.914462402481591,21h32m25.98s,-02d54m52.06s,-0.4718155861,95,902.8529650518369,2.9343162371163545,307.6876831055,18.2993240356,9,517.109824161035,28.703969568875564,18.0152721405,18.5674304962,9,580.0350692089651,8.048635016868321,72.0662689209,17.8532848358,1.2151978016,0,0.7141456604,0.2681064606,0.4460391998,,,
