Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1
PMO20200815S-0146.fit	114	0	59077.908136574086	2459077.908136574	NaN	NaN	0	1.62350076118	NaN	-19.54158525	60	NaN	NaN	3.1496044141207773	10	14	18	1331.244129357255	1706.6948559762411	1331.744129357255	1349.8051440237589	21.66050887736063	-2.920190769284926	103352.4654295019	314.15926535897916	608.0083589765298	169.9852706029844	11744	328.98111507678925	1065.4501424501425	351	3.1496044141207773	4.908298725602847	5.012972185077727	4.803625266127969	342.82507297057384	0.9973335783729321
PMO20200815S-0147.fit	115	0	59077.90902777761	2459077.9090277776	NaN	NaN	0	1.62818391184	NaN	-19.478720250000002	60	NaN	NaN	3.1252228444755934	10	14	18	1331.244129357255	1706.6948559762411	1331.744129357255	1349.8051440237589	21.660509513498063	-2.9202639702464186	103714.51845692529	314.15926535897916	612.6397715108765	169.2911940750226	10793	330.1335656563056	1065.7905604719765	339	3.1252228444755934	5.022048049692604	5.024151922638088	5.019944176747119	44.406480546455334	0.9983642586814642
PMO20200815S-0148.fit	116	0	59077.90990740759	2459077.9099074076	NaN	NaN	0	1.63288578618	NaN	-19.39070925	60	NaN	NaN	5.261484169728286	10	14	18	1330.415467416896	1707.2472972698135	1330.915467416896	1349.2527027301865	21.660503551066327	-2.920574331566097	103445.56577679049	314.1592653589792	607.2559287328472	170.34920678773605	11262	329.2774626862803	1065.1048158640226	353	5.261484169728286	5.954062086777739	5.1809668925981045	6.727157280957374	69.55700516616781	0.8858914086096155
PMO20200815S-0149.fit	117	0	59077.91079861112	2459077.910798611	NaN	NaN	0	1.63773113422	NaN	-19.3058415	60	NaN	NaN	8.12874611871464	10	14	18	1330.9679087104685	1706.6948559762411	1331.4679087104685	1349.8051440237589	21.660515536235785	-2.920585828470295	102183.9732508281	314.1592653589794	602.7260532958414	169.53634688937566	7277	325.26168895278596	1065.3808219178081	365	8.12874611871464	7.719628070539234	8.053012850451744	7.386243290626725	39.18115662223893	0.8173444403844149
PMO20200815S-0150.fit	118	0	59077.911689814646	2459077.9116898146	NaN	NaN	0	1.64265967904	NaN	-19.2178305	60	NaN	NaN	8.34652879176636	10	14	18	1330.1392467701096	1706.4186353294547	1330.6392467701096	1350.0813646705453	21.660509888770882	-2.920574130486352	103623.90680959437	314.15926535897927	610.4562430718455	169.74829561600325	10031	329.8451398248172	1064.5639534883721	344	8.34652879176636	7.6762477444608965	8.41652720798974	6.9359682809320535	35.238997630703686	0.6729751670269521
PMO20200815S-0151.fit	119	0	59077.91256944463	2459077.9125694446	NaN	NaN	0	1.64760686085	NaN	-19.123533000000002	60	NaN	NaN	3.2621450966800705	10	14	18	1325.443495774743	1703.9326495083783	1325.943495774743	1352.5673504916217	21.660431766142253	-2.9200804808119236	103137.80316550448	314.15926535897944	607.6341543400198	169.73667860643437	11630	328.29782386857926	1065.7301136363637	352	3.2621450966800705	5.182087254591806	5.66829355919934	4.6958809499842715	7.804095251484152	0.9626995166806932
PMO20200815S-0152.fit	120	0	59077.91346064815	2459077.913460648	NaN	NaN	0	1.65271348059	NaN	-19.029235500000002	60	NaN	NaN	3.113064247756798	10	14	18	1324.6148338343842	1703.9326495083783	1325.1148338343842	1352.5673504916217	21.660422498263603	-2.920212419290946	103709.85302724835	314.15926535897927	606.9941831632625	170.85806734881615	11417	330.11871513241084	1065.0677966101696	354	3.113064247756798	5.223339029111046	5.593229806019874	4.853448252202218	345.9030446008451	0.9744338549447178
PMO20200815S-0153.fit	121	0	59077.91434027767	2459077.9143402777	NaN	NaN	0	1.65782927139	NaN	-18.922365000000003	60	NaN	NaN	3.312737027877411	10	14	18	1324.6148338343842	1703.9326495083783	1325.1148338343842	1352.5673504916217	21.660428519436255	-2.9202588244592302	102930.10611869622	314.15926535897927	618.4781248178044	166.4248127595751	10017	327.63670363527694	1064.814241486068	323	3.312737027877411	5.234134492730754	5.225502911571414	5.242766073890094	47.57214725658888	0.998646963486403
PMO20200815S-0154.fit	122	0	59077.91523148166	2459077.9152314817	NaN	NaN	0	1.66309947563	NaN	-18.81863775	60	NaN	NaN	4.356496660549926	10	14	18	1324.0623925408117	1703.9326495083783	1324.5623925408117	1352.5673504916217	21.660426903270544	-2.920315833505754	102649.2389455323	314.1592653589793	610.8284839399153	168.04920144429528	7664	326.7426756560512	1064.5233918128654	342	4.356496660549926	6.129182634037521	6.340273118203254	5.9180921498717876	28.63409756282447	0.9838103310568114
PMO20200815S-0155.fit	123	0	59077.91612268519	2459077.916122685	NaN	NaN	0	1.66845853122	NaN	-18.714910500000002	60	NaN	NaN	3.9968315190149037	10	14	18	1321.0239654261627	1703.1039875680194	1321.5239654261627	1353.3960124319806	21.66037947391181	-2.9202814167014317	101899.38102200662	314.1592653589794	604.8636361152415	168.46670048882268	9006	324.3558037531364	1066.356545961003	359	3.9968315190149037	5.530424130919982	6.002205496410466	5.058642765429498	341.44335911432165	0.9548844565478464
