Label	slice	Saturated	J.D.-2400000	JD_UTC	JD_SOBS	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RA_OBJ	DEC_OBJ	FWHM_Mean	Source_Radius	Sky_Rad(min)	Sky_Rad(max)	X(IJ)_T1	Y(IJ)_T1	X(FITS)_T1	Y(FITS)_T1	RA_T1	DEC_T1	Source-Sky_T1	N_Src_Pixels_T1	Source_Error_T1	Source_SNR_T1	Peak_T1	Mean_T1	Sky/Pixel_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	X-Width_T1	Y-Width_T1	Angle_T1	Roundness_T1
aligned_665Sabine_133_out.fits	133	0	59525.966626412235	2459525.9666264122	2459525.966452801	2459525.970674191	2459525.9714263934	-1	-55.41859485797613	-14.80951678	30	0.0186300066018426	0.1214266320326028	4.396836014290773	10	16	20	482.10717156909107	501.38111021443393	482.60717156909107	523.1188897855661	1.9866493782298063	33.3541032920756	21040.13252158921	314.1592653589792	210.73200009402947	99.84308274111676	955	66.97282188238937	23.285	400	4.396836014290773	6.160435824686028	5.780078436159272	6.540793213212783	288.86920569019316	0.97580264026773
aligned_665Sabine_134_out.fits	134	0	59525.9670599075	2459525.9670599075	2459525.9668862964	2459525.971107655	2459525.9718598574	-1	-55.26211037339368	-14.80951678	30	0.0186300065261036	0.1214266315339974	4.158157067244149	10	16	20	482.8749329926891	501.3077692564188	483.3749329926891	523.1922307435811	1.9866368807094406	33.3540638217904	20926.713932544233	314.15926535897944	211.70846885355334	98.84684370855292	1102	66.61179930068899	23.403598971722364	389	4.158157067244149	5.989248379692609	5.829005986964858	6.14949077242036	291.2451678630689	0.9947416117365265
aligned_665Sabine_135_out.fits	135	0	59525.967497048434	2459525.9674970484	2459525.9673234373	2459525.9715447645	2459525.972296967	-1	-55.104309857571025	-15.23319095	30	0.0186300064497784	0.1214266310315346	4.589113984479763	10	16	20	483.0097502165414	501.36700804681783	483.5097502165414	523.1329919531822	1.9866339818150398	33.35404113694435	20880.54260963574	314.15926535897955	212.54348750949384	98.24127219472228	875	66.4648314152894	25.331632653061224	392	4.589113984479763	6.16587387996638	5.7680748314298524	6.563672928502907	86.6056503765618	0.9832543659835014
aligned_665Sabine_136_out.fits	136	0	59525.96793127293	2459525.967931273	2459525.967757662	2459525.9719789578	2459525.9727311605	-1	-54.94756211780731	-14.80951678	30	0.0186300063740129	0.1214266305327578	4.268027857120515	10	16	20	483.53479328694226	500.92398896266275	484.03479328694226	523.5760110373373	1.9866241719323106	33.35401467596654	21419.426220506703	314.15926535897916	209.97581667925377	102.00901493920945	959	68.18015122371594	22.388206388206388	407	4.268027857120515	6.245769304316864	5.836232421599359	6.655306187034369	89.17443276855127	0.9829349168680839
aligned_665Sabine_137_out.fits	137	0	59525.9683686113	2459525.9683686113	2459525.968195	2459525.972416265	2459525.973168467	-1	-54.789690312391656	-15.23319095	30	0.0186300062977548	0.1214266300307402	4.464062121906415	10	16	20	483.64018229350665	500.39987141020146	484.14018229350665	524.1001285897985	1.9866182121040425	33.35393901251592	21401.785343702075	314.1592653589793	211.67663077970556	101.10603737818924	962	68.12399856883727	22.82608695652174	391	4.464062121906415	6.374158683178768	6.129529565931729	6.618787800425807	82.62426868551462	0.9937184940228944
aligned_665Sabine_138_out.fits	138	0	59525.96880115755	2459525.9688011575	2459525.9686275464	2459525.97284878	2459525.973600982	-1	-54.633548373717076	-14.80951678	30	0.0186300062223823	0.1214266295345551	4.332016804481581	10	16	20	484.6213699844824	500.24480722848193	485.1213699844824	524.2551927715181	1.9866160960906372	33.35389045723216	21431.08002726752	314.159265358979	210.22950172695877	101.94135385956302	1014	68.21724644275241	22.054726368159205	402	4.332016804481581	6.303548669092314	6.243600464411019	6.3634968737736095	301.09142506728244	0.9983389663003396
aligned_665Sabine_139_out.fits	139	0	59525.96923901606	2459525.969239016	2459525.969065405	2459525.973286607	2459525.9740388095	-1	-54.47548878870123	-14.80951678	30	0.0186300061461349	0.1214266290326119	3.9391056213144218	10	16	20	484.2414641576641	500.17173830353744	484.7414641576641	524.3282616964625	0	0	21500.6107249341	314.1592653589791	212.0343815050825	101.40153013071009	1113	68.43856952735767	22.9280205655527	389	3.9391056213144218	6.324039963824978	6.278094507291229	6.369985420358727	300.75902626314655	0.9990716996734021
aligned_665Sabine_140_out.fits	140	0	59525.96967699053	2459525.9696769905	2459525.9695033794	2459525.97372455	2459525.9744767523	-1	-54.317387339673814	-15.23319095	30	0.0186300060699183	0.1214266285308732	3.9617593819779646	10	16	20	485.2811579870086	500.0326909057773	485.7811579870086	524.4673090942226	1.9866056420609985	33.353775874579846	21336.1113521499	314.1592653589792	211.61929066943566	100.8230926616157	1212	67.91495176107522	22.692307692307693	390	3.9617593819779646	5.607253144447387	5.38900707885888	5.825499210035894	286.48530665383146	0.9914164744115086
aligned_665Sabine_141_out.fits	141	0	59525.97014797432	2459525.9701479743	2459525.969974363	2459525.9741955	2459525.974947702	-1	-54.14737006560591	-14.80951678	30	0.0186300059880143	0.1214266279916961	4.004126549811838	10	16	20	485.26382458919466	499.49257445720895	485.76382458919466	525.007425542791	1.9865972401309102	33.35375845502749	22137.353327418867	314.15926535897904	209.47371033748217	105.68081928636045	1178	70.46538418061066	21.954653937947494	419	4.004126549811838	6.1116419240549265	5.964085801763711	6.259198046346142	286.2532723764169	0.9967254069943879
aligned_665Sabine_142_out.fits	142	0	59525.97058312502	2459525.970583125	2459525.970409514	2459525.9746306194	2459525.9753828216	-1	-53.99028793389829	-15.23319095	30	0.018630005912394	0.121426627493887	4.213571487929214	10	16	20	486.3189672565006	499.94055562798525	486.8189672565006	524.5594443720147	1.9865917277173277	33.35375310568592	21685.3012138825	314.1592653589794	212.85229540207055	101.87957415690408	1049	69.02645761252155	21.696	375	4.213571487929214	6.263309303341484	6.214372550549002	6.312246056133966	309.6472948628213	0.9929243238353943
